session_id,genderidentity,raceomb_002,D_biep.White_Good_all,Mn_RT_all_3467,edu,politicalid_7,STATE,att_7,tblacks_0to10,twhites_0to10,labels
2631936964.0,[2],6.0,0.899691389,933.0916667000001,7.0,4.0,,4.0,10.0,10.0,1.0
2631936982.0,[1],6.0,0.877340131,690.0583333,5.0,2.0,,6.0,5.0,10.0,2.0
2631937015.0,[2],6.0,0.52407681,812.8083333,6.0,3.0,WA,4.0,8.0,8.0,2.0
2631937018.0,[2],6.0,-0.322057313,678.95,5.0,4.0,TX,2.0,5.0,1.0,2.0
2631937033.0,[2],6.0,-0.565072783,934.5666667000003,6.0,3.0,TX,4.0,8.0,8.0,2.0
2631937081.0,[1],6.0,-0.058691295,705.05,12.0,7.0,MI,5.0,7.0,7.0,2.0
2631937094.0,[1],6.0,0.320514848,757.8916667000003,7.0,2.0,,4.0,9.0,8.0,1.0
2631937095.0,[2],6.0,-0.082162725,733.8166667,9.0,6.0,MA,4.0,9.0,8.0,1.0
2631937101.0,[1],6.0,0.616375159,1652.425,7.0,6.0,,5.0,9.0,7.0,2.0
2631937148.0,[1],6.0,-0.13528410800000001,905.475,12.0,5.0,MI,4.0,6.0,5.0,2.0
2631937158.0,[1],5.0,0.098673789,1226.116667,9.0,2.0,GA,3.0,9.0,8.0,2.0
2631937181.0,[1],2.0,0.786325972,1854.4416670000005,3.0,4.0,PA,6.0,4.0,8.0,2.0
2631937192.0,[1],6.0,-0.514804009,773.8666667,7.0,2.0,,4.0,10.0,10.0,1.0
2631937226.0,[1],6.0,0.542379784,1018.466667,5.0,7.0,PA,3.0,6.0,4.0,2.0
2631937257.0,[1],6.0,0.475514394,758.4416667,3.0,2.0,,5.0,9.0,9.0,2.0
2631937270.0,[2],5.0,-0.254014505,768.0083333,9.0,6.0,NY,1.0,10.0,5.0,1.0
2631937276.0,[1],8.0,0.56005308,1131.383333,9.0,7.0,MI,4.0,6.0,5.0,2.0
2631937304.0,[2],6.0,-0.23264052899999998,1065.408333,9.0,6.0,NJ,5.0,8.0,9.0,2.0
2631937319.0,[2],2.0,-1.173265456,2752.591667,9.0,4.0,MD,5.0,4.0,6.0,1.0
2631937340.0,[1],1.0,0.304758622,1069.566667,4.0,4.0,TX,4.0,5.0,5.0,1.0
